ProductID,StockLevel,ReorderThreshold,LastUpdated
P0000,5,30,2024-10-12 11:00:41
P0001,40,29,2024-11-02 11:00:41
P0002,47,29,2024-11-05 11:00:41
P0003,36,29,2024-10-23 11:00:41
P0004,94,11,2024-10-24 11:00:41
P0005,34,22,2024-11-08 11:00:41
P0006,75,28,2024-10-30 11:00:41
P0007,68,26,2024-10-30 11:00:41
P0008,61,10,2024-10-22 11:00:41
P0009,50,23,2024-10-14 11:00:41
P0010,10,21,2024-11-08 11:00:41
P0011,25,27,2024-11-04 11:00:41
P0012,57,16,2024-10-14 11:00:41
P0013,5,23,2024-10-27 11:00:41
P0014,67,23,2024-11-03 11:00:41
P0015,52,18,2024-11-01 11:00:41
P0016,31,26,2024-10-16 11:00:41
P0017,1,28,2024-10-29 11:00:41
P0018,38,25,2024-11-09 11:00:41
P0019,65,25,2024-10-29 11:00:41
P0020,67,22,2024-10-14 11:00:41
P0021,87,18,2024-10-25 11:00:41
P0022,82,23,2024-10-15 11:00:41
P0023,30,16,2024-10-13 11:00:41
P0024,47,20,2024-10-24 11:00:41
P0025,25,18,2024-10-20 11:00:41
P0026,90,28,2024-10-22 11:00:41
P0027,82,15,2024-11-10 11:00:41
P0028,61,23,2024-11-02 11:00:41
P0029,27,24,2024-10-23 11:00:41
P0030,70,12,2024-10-19 11:00:41
P0031,45,13,2024-10-25 11:00:41
P0032,6,22,2024-10-23 11:00:41
P0033,75,17,2024-11-05 11:00:41
P0034,89,18,2024-10-26 11:00:41
P0035,27,28,2024-10-30 11:00:41
P0036,39,19,2024-10-30 11:00:41
P0037,65,21,2024-10-24 11:00:41
P0038,94,17,2024-10-26 11:00:41
P0039,65,15,2024-10-24 11:00:41
P0040,53,21,2024-10-14 11:00:41
P0041,63,27,2024-10-16 11:00:41
P0042,55,30,2024-11-01 11:00:41
P0043,34,30,2024-10-19 11:00:41
P0044,53,17,2024-10-25 11:00:41
P0045,92,13,2024-10-29 11:00:41
P0046,37,27,2024-10-21 11:00:41
P0047,100,28,2024-10-31 11:00:41
P0048,67,30,2024-10-31 11:00:41
P0049,13,13,2024-10-23 11:00:41
P0050,59,28,2024-11-06 11:00:41
P0051,7,11,2024-10-15 11:00:41
P0052,0,19,2024-10-12 11:00:41
P0053,66,28,2024-10-13 11:00:41
P0054,65,26,2024-10-17 11:00:41
P0055,63,23,2024-10-13 11:00:41
P0056,59,15,2024-10-17 11:00:41
P0057,79,29,2024-10-24 11:00:41
P0058,44,16,2024-11-11 11:00:41
P0059,66,17,2024-11-03 11:00:41
P0060,75,21,2024-10-12 11:00:41
P0061,1,16,2024-11-03 11:00:41
P0062,80,29,2024-11-02 11:00:41
P0063,1,29,2024-10-20 11:00:41
P0064,48,20,2024-10-17 11:00:41
P0065,75,21,2024-10-14 11:00:41
P0066,21,20,2024-10-13 11:00:41
P0067,71,26,2024-10-26 11:00:41
P0068,83,21,2024-11-10 11:00:41
P0069,88,25,2024-10-20 11:00:41
P0070,92,12,2024-10-27 11:00:41
P0071,48,21,2024-10-22 11:00:41
P0072,59,21,2024-10-16 11:00:41
P0073,29,30,2024-11-09 11:00:41
P0074,57,24,2024-10-12 11:00:41
P0075,81,26,2024-10-20 11:00:41
P0076,12,15,2024-10-12 11:00:41
P0077,17,20,2024-10-13 11:00:41
P0078,15,18,2024-11-05 11:00:41
P0079,93,10,2024-10-18 11:00:41
P0080,27,11,2024-11-03 11:00:41
P0081,37,21,2024-11-03 11:00:41
P0082,44,20,2024-11-06 11:00:41
P0083,7,21,2024-10-28 11:00:41
P0084,52,22,2024-11-07 11:00:41
P0085,55,21,2024-10-13 11:00:41
P0086,67,25,2024-10-27 11:00:41
P0087,16,15,2024-10-24 11:00:41
P0088,7,27,2024-10-24 11:00:41
P0089,23,25,2024-10-25 11:00:41
P0090,22,14,2024-10-29 11:00:41
P0091,85,11,2024-10-18 11:00:41
P0092,22,10,2024-10-18 11:00:41
P0093,34,26,2024-11-04 11:00:41
P0094,27,22,2024-10-23 11:00:41
P0095,58,15,2024-11-02 11:00:41
P0096,22,30,2024-10-23 11:00:41
P0097,79,10,2024-11-01 11:00:41
P0098,75,25,2024-10-16 11:00:41
P0099,35,22,2024-10-25 11:00:41
